Canton,Population,SettlementAreaHa,SettlementAreaKm2,Density,O65,O65P,Beds,BedsPerCapita
ZH,1520968,37796,377.96,4024.150704,0.17,258565,4472,0.002940233
BE,1034977,41197,411.97,2512.263029,0.208,215275,3053,0.002949824
VD,799145,29940,299.4,2669.154977,0.164,131060,2268,0.002838033
AG,678207,23854,238.54,2843.15838,0.177,120043,1450,0.00213799
SG,507697,19408,194.08,2615.916117,0.183,92909,1565,0.003082547
GE,495249,9416,94.16,5259.653781,0.164,81221,1506,0.003040895
LU,409557,14384,143.84,2847.309511,0.176,72082,977,0.002385504
TI,353343,15881,158.81,2224.941754,0.226,79856,1338,0.003786689
VS,343955,18463,184.63,1862.9421,0.196,67415,834,0.002424736
FR,318714,13998,139.98,2276.853836,0.157,50038,547,0.001716272
BL,288132,9025,90.25,3192.598338,0.219,63101,582,0.002019908
TG,276472,12170,121.7,2271.750205,0.176,48659,570,0.002061692
SO,273194,10952,109.52,2494.466764,0.196,53546,510,0.001866805
GR,198379,13863,138.63,1430.996177,0.213,42255,546,0.002752307
BS,194766,2628,26.28,7411.187215,0.199,38758,1199,0.006156105
NE,177964,6701,67.01,2655.782719,0.19,33813,385,0.002163359
SZ,159165,5499,54.99,2894.435352,0.177,28172,274,0.001721484
ZG,126837,3306,33.06,3836.569873,0.17,21562,206,0.001624132
SH,81991,3403,34.03,2409.374082,0.212,17382,186,0.002268542
JU,73419,5615,56.15,1307.551202,0.209,15345,145,0.001974966
AR,55234,2231,22.31,2475.750784,0.197,10881,208,0.003765796
NW,43223,1481,14.81,2918.501013,0.203,8774,73,0.001688916
GL,40403,1995,19.95,2025.213033,0.201,8121,86,0.002128555
OW,37841,1879,18.79,2013.890367,0.188,7114,50,0.001321318
UR,36433,2000,20,1821.65,0.204,7432,63,0.001729202
AI,16145,813,8.13,1985.854859,0.191,3084,18,0.001114896
CH,8541410,,,2780.073699,0.191,1576463,23111,0.002705759
